"RTL_STORE_CD","ITEM_MASTER_SKU_DSC","RTL_PREMISE_TYPE_CD","WJXBFS1"
"103946193","CORONA EX 18PK BT","OFF",84.75
"101537249","CORONA EX 3.2 24OZ BT","OFF",32
"107443744","PACIFICO 6PK BT","OFF",10
"200572989","CORONA EX 3.2 6PK BT","OFF",22
"101476216","CORONITA 7OZ 6PK BT","OFF",153.418
"101795758","MODELO ESP 18PK CAN","OFF",383.25
"102718832","PACIFICO 12PK BT","OFF",62
"104025484","VICTORIA 12PK BT","ON",7
"100765515","CORONA LT 6PK BT","OFF",186
"201404109","PACIFICO 6PK BT","OFF",62
"107366792","CORONA LT 3.2 12PK BT","OFF",9
"107354744","CORONA EX 18PK BT","OFF",353.25
"100764204","CORONA EX 24PK CAN","OFF",15
"101967580","CORONA EX 3.2 6PK BT","OFF",197
"101491016","CORONA EX 24OZ BT","OFF",158
"107299859","CORONITA 7OZ 24PK BT","OFF",26.2504
"100091971","MODELO ESP 3.2 6PK BT","OFF",63
"100326479","CORONA EX 3.2 6PK BT","OFF",157.7917
"201839408","CORONA LT 18PK BT","ON",84
"101404006","MODELO ESP 12PK BT","OFF",147
"101403709","CORONA LT 18PK BT","OFF",113.25
"100316579","MODELO CHELADA 24OZ CAN","OFF",98
"101476232","MODELO NEGRA 6PK BT","OFF",14
"201855889","MODELO ESP 3.2 6PK BT","OFF",463
"100153220","CORONA EX 3.2 12PK BT","OFF",191
"100763567","MODELO ESP 24OZ CAN","OFF",62
"100323190","MODELO ESP 3.2 6PK BT","OFF",14
"102194529","CORONA EX 12PK BT","OFF",983
"107034295","MODELO ESP 6PK BT","OFF",8
"101404029","CORONA EX 24PK CAN","OFF",2
"202246327","CORONA LT 18PK BT","ON",501.75
"101000587","MODELO NEGRA 6PK BT","OFF",43
"100242749","MODELO ESP 12PK CAN","OFF",32
"100339437","CORONA EX 12PK BT","OFF",622
"100763614","MODELO ESP 24OZ BT","OFF",202
"100440921","CORONA EX 3.2 6PK BT","OFF",24
"101868612","CORONA EX 24OZ BT","OFF",6
"100764954","CORONA LT 6PK BT","OFF",48
"101404092","CORONA EX 12PK CAN","OFF",94
"100768115","CORONA LT 12PK BT","OFF",17
"202489984","CORONA EX 24PK CAN","OFF",11
"100682155","CORONA EX 3.2 6PK BT","OFF",36
"201403821","CORONA EX 6PK BT","OFF",50
"101000283","MODELO ESP 18PK CAN","OFF",103.5
"100766922","CORONA EX 18PK CAN","OFF",57
"103850036","MODELO ESP 12PK CAN","OFF",12
"104026464","PACIFICO 6PK BT","OFF",2
"101733532","MODELO ESP 12PK BT","ON",14
"101403645","MODELO ESP 24OZ BT","OFF",9
"301616936","MODELO ESP 6PK BT","ON",16
"100765043","MODELO ESP 24OZ CAN","OFF",7
"107368998","MODELO ESP 6PK BT","OFF",178
"201736599","MODELO ESP 24PK BT","ON",4
"101404137","PACIFICO 6PK BT","OFF",12
"101733587","CORONA EX 12PK BT","ON",7
"202024666","CORONA EX 6PK BT","OFF",12
"200470288","MODELO CHELADA 24OZ CAN","OFF",19
"100766919","CORONA LIGHT 1/2 BL KEG","OFF",103.3335
"101403841","CORONA LT 18PK BT","OFF",0.75
"101404002","CORONA EX 24OZ CAN LSE","OFF",13
"101403863","CORONA FAMILIAR 32OZ BT","OFF",51.9999
"102718832","VICTORIA 6PK BT","OFF",11
"100682134","CORONA EX 3.2 6PK BT","OFF",5
"100766198","MODELO ESP 24PK BT","OFF",5
"107394574","PACIFICO 12PK BT","ON",25
"102487381","CORONA EX 24PK BT","ON",83
"107192584","MODELO ESP 24OZ BT","OFF",1
"100440999","CORONA EX 3.2 12PK BT","OFF",6
"101404005","CORONA EX 12PK CAN","OFF",9
"101000568","CORONITA 7OZ 6PK BT","OFF",6.9999
"101977948","MODELO ESP 18PK CAN","ON",0.75
"107169249","CORONA EX 12PK CAN","OFF",7
"100642115","VICTORIA 12PK CAN","OFF",55
"202166373","VICTORIA 6PK BT","ON",5
"101923073","MODELO ESP 3.2 12PK BT","OFF",15
"103639684","CORONA EX 12PK BT","ON",3
"200764914","CORONA EX 24PK CAN","OFF",0
"101403835","MODELO ESP 24PK CAN","OFF",0
"100764802","CORONA EX 12PK CAN","OFF",1
"201525386","MODELO ESP 3.2 6PK BT","OFF",3
"101485774","CORONA EX 18PK BT","OFF",12
"101995897","CORONA EX 18PK BT","OFF",0
"101491008","TSINGTAO 6PK BT","OFF",1
"100377462","MODELO ESP 3.2 12PK BT","OFF",40
"107516536","MODELO CHE TAMPIC 3.2 24OZ CAN","OFF",3
"107538720","CORONITA 7OZ 24PK BT","OFF",4.6667
"101735536","MODELO ESP 16OZ 4PK CAN","OFF",1.3333
"103637299","MODELO ESP 12PK BT","OFF",91
