"RTL_STORE_CD","RTL_FIPS_COUNTY_DSC","RTL_PREMISE_TYPE_CD","RTL_CHANNEL_DSC","RTL_SUBCHANNEL_DSC","RTL_BEER_FLAG","RTL_LIQUOR_FLG"
"100194153","ADAMS","OFF","CONVENIENCE STORE","CONVENTIONAL CONVENIENCE","Y","N"
"102147363","DENVER","OFF","LIQUOR","CONVENTIONAL LIQUOR","Y","Y"
"107506920","ADAMS","ON","BAR/NIGHTCLUB","PREMIUM BAR","Y","Y"
"100543468","BOULDER","OFF","CONVENIENCE STORE","CONVENTIONAL CONVENIENCE","Y","N"
"101853786","DENVER","ON","DINING","CASUAL DINING","Y","Y"
"102003567","GARFIELD","OFF","LIQUOR","CONVENTIONAL LIQUOR","Y","Y"
"102636640","ARAPAHOE","ON","DINING","FAST CASUAL","Y","N"
"100743729","DENVER","ON","DINING","FAST CASUAL","Y","Y"
"200910099","EL PASO","OFF","CONVENIENCE STORE","CONVENTIONAL CONVENIENCE","Y","N"
"301397267","LARIMER","OFF","LIQUOR","CONVENTIONAL LIQUOR","Y","Y"
"105202844","DENVER","ON","DINING","FAST CASUAL","Y","Y"
"205206972","ALAMOSA","ON","DINING","CASUAL DINING","Y","Y"
"102241071","ARCHULETA","ON","DINING","CASUAL DINING","Y","Y"
"201951429","WELD","ON","BAR/NIGHTCLUB","NEIGHBORHOOD BAR","Y","Y"
"301963497","MONTROSE","ON","DINING","CASUAL DINING","Y","Y"
"100317114","ADAMS","OFF","CONVENIENCE STORE","CONVENTIONAL CONVENIENCE","Y","N"
"101803204","DOUGLAS","ON","DINING","CASUAL DINING","Y","Y"
"203698669","DENVER","ON","BAR/NIGHTCLUB","NEIGHBORHOOD BAR","Y","Y"
"107292740","DENVER","OFF","LIQUOR","CONVENTIONAL LIQUOR","Y","Y"
"100996359","ARCHULETA","OFF","CONVENIENCE STORE","CONVENTIONAL CONVENIENCE","Y","N"
"107196135","DENVER","ON","LODGING","FULL SERVICE LODGING","Y","Y"
"201424086","MESA","OFF","LIQUOR","CONVENTIONAL LIQUOR","Y","Y"
"305206334","DENVER","ON","DINING","CASUAL DINING","Y","Y"
"105206817","DENVER","ON","BAR/NIGHTCLUB","IRISH PUB","Y","Y"
"105211592","PROWERS","ON","RECREATION","GOLF/COUNTRY CLUB","Y","Y"
"101423997","ARAPAHOE","OFF","LIQUOR","CONVENTIONAL LIQUOR","Y","Y"
"100980949","WELD","OFF","GROCERY","SUPERMARKET-CONVENTIONAL","Y","N"
"100187475","EL PASO","OFF","CONVENIENCE STORE","CONVENTIONAL CONVENIENCE","Y","N"
"100634147","ARAPAHOE","OFF","CONVENIENCE STORE","CONVENTIONAL CONVENIENCE","Y","N"
"105194354","ARAPAHOE","ON","DINING","CASUAL DINING","Y","Y"
"200872742","JEFFERSON","OFF","CONVENIENCE STORE","CONVENTIONAL CONVENIENCE","Y","N"
"102498868","MORGAN","ON","DINING","CASUAL DINING","Y","Y"
"101449116","OTERO","OFF","GROCERY","SUPERCENTER","Y","N"
"105203690","MESA","ON","DINING","CASUAL DINING","Y","Y"
"100226229","ADAMS","OFF","CONVENIENCE STORE","CONVENTIONAL CONVENIENCE","Y","N"
"107478531","ARAPAHOE","ON","DINING","CASUAL DINING","Y","Y"
"105194164","DENVER","ON","DINING","CASUAL DINING","Y","Y"
"105212646","JEFFERSON","ON","RECREATION","PRIVATE CLUB","Y","Y"
"107267780","ARAPAHOE","ON","BAR/NIGHTCLUB","SPORTS BAR","Y","Y"
"100792788","DENVER","OFF","LIQUOR","CONVENTIONAL LIQUOR","Y","Y"
"101397303","SUMMIT","OFF","LIQUOR","CONVENTIONAL LIQUOR","Y","Y"
"401967030","EL PASO","ON","DINING","CASUAL DINING","Y","Y"
