"RTL_STORE_CD","RTL_FIPS_COUNTY_DSC","RTL_PREMISE_TYPE_CD","RTL_CHANNEL_DSC","RTL_SUBCHANNEL_DSC","RTL_BEER_FLAG","RTL_LIQUOR_FLG"
"101403888","SEDGWICK","OFF","LIQUOR","CONVENTIONAL LIQUOR","Y","Y"
"100091604","SALINE","OFF","CONVENIENCE STORE","CONVENTIONAL CONVENIENCE","Y","N"
"200697901","SEDGWICK","OFF","CONVENIENCE STORE","CONVENTIONAL CONVENIENCE","Y","N"
"100091143","HARPER","OFF","GROCERY","SUPERMARKET-CONVENTIONAL","Y","N"
"107381463","DOUGLAS","OFF","GROCERY","SUPERMARKET-NATURAL/GOURMET FOODS","Y","N"
"201953385","NEOSHO","ON","DINING","CASUAL DINING","Y","Y"
"100091590","LABETTE","OFF","GROCERY","SUPERMARKET-CONVENTIONAL","Y","N"
"201403873","PHILLIPS","OFF","LIQUOR","CONVENTIONAL LIQUOR","Y","Y"
"201644381","STEVENS","ON","BAR/NIGHTCLUB","NEIGHBORHOOD BAR","Y","Y"
"201852636","SEDGWICK","OFF","CONVENIENCE STORE","GAS STATION/KIOSK","Y","N"
"101609938","SEWARD","ON","DINING","FAST CASUAL","Y","N"
"101930395","BARTON","ON","BAR/NIGHTCLUB","NEIGHBORHOOD BAR","Y","N"
"201840859","WYANDOTTE","ON","CATERER","FOOD SERVICE","Y","Y"
"101616875","JOHNSON","ON","DINING","CASUAL DINING","Y","Y"
"107368701","SHAWNEE","OFF","GROCERY","SUPERMARKET-CONVENTIONAL","Y","N"
"101476138","ANDERSON","OFF","LIQUOR","CONVENTIONAL LIQUOR","Y","Y"
"101403800","ATCHISON","OFF","LIQUOR","CONVENTIONAL LIQUOR","Y","Y"
"200214789","SEDGWICK","OFF","GROCERY","SUPERMARKET-CONVENTIONAL","Y","N"
"201530889","LEAVENWORTH","OFF","CONVENIENCE STORE","CONVENTIONAL CONVENIENCE","Y","N"
"101942314","WYANDOTTE","ON","DINING","CASUAL DINING","Y","N"
"100451690","SEDGWICK","OFF","CONVENIENCE STORE","CONVENTIONAL CONVENIENCE","Y","N"
"101939247","JOHNSON","ON","RECREATION","GOLF/COUNTRY CLUB","Y","N"
"105527771","JOHNSON","ON","DINING","CASUAL DINING","Y","N"
"101907187","GEARY","ON","MILITARY ON-PREMISE","MILITARY FOOD SERVICE","Y","Y"
"101403894","POTTAWATOMIE","OFF","LIQUOR","CONVENTIONAL LIQUOR","Y","Y"
"101606241","SEDGWICK","OFF","LIQUOR","CONVENTIONAL LIQUOR","Y","Y"
"100765085","HARVEY","OFF","LIQUOR","CONVENTIONAL LIQUOR","Y","Y"
"101977754","FORD","ON","DINING","CASUAL DINING","Y","N"
"101737914","JOHNSON","ON","DINING","FAST CASUAL","Y","N"
"107299184","SEDGWICK","OFF","CONVENIENCE STORE","CONVENTIONAL CONVENIENCE","Y","N"
"101833870","SHAWNEE","OFF","LIQUOR","CONVENTIONAL LIQUOR","Y","Y"
"101000514","SEDGWICK","OFF","LIQUOR","CONVENTIONAL LIQUOR","Y","Y"
"100521176","SALINE","OFF","CONVENIENCE STORE","CONVENTIONAL CONVENIENCE","Y","N"
"103633570","SALINE","OFF","LIQUOR","CONVENTIONAL LIQUOR","Y","Y"
"200321115","FORD","OFF","CONVENIENCE STORE","CONVENTIONAL CONVENIENCE","Y","N"
