"RTL_STORE_CD","RTL_FIPS_COUNTY_DSC","RTL_PREMISE_TYPE_CD","RTL_CHANNEL_DSC","RTL_SUBCHANNEL_DSC","RTL_BEER_FLAG","RTL_LIQUOR_FLG"
"107452530","PONTOTOC","OFF","MASS MERCHANDISER","DOLLAR STORE","Y","N"
"200097024","OKLAHOMA","OFF","GROCERY","SUPERMARKET-CONVENTIONAL","Y","N"
"100135885","MUSKOGEE","OFF","CONVENIENCE STORE","CONVENTIONAL CONVENIENCE","Y","N"
"100950469","CANADIAN","OFF","CONVENIENCE STORE","CONVENTIONAL CONVENIENCE","Y","N"
"100560558","TULSA","OFF","MASS MERCHANDISER","DOLLAR STORE","Y","N"
"100953364","CLEVELAND","OFF","MASS MERCHANDISER","DOLLAR STORE","Y","N"
"100415222","COTTON","OFF","CONVENIENCE STORE","CONVENTIONAL CONVENIENCE","Y","N"
"100260951","COMANCHE","OFF","GROCERY","SUPERMARKET-CONVENTIONAL","Y","N"
"301532848","CARTER","OFF","CONVENIENCE STORE","CONVENTIONAL CONVENIENCE","Y","N"
"100144438","ROGERS","OFF","GROCERY","SUPERMARKET-CONVENTIONAL","Y","N"
"100685008","ROGERS","OFF","CONVENIENCE STORE","CONVENTIONAL CONVENIENCE","Y","N"
"103933853","DELAWARE","ON","DINING","CASUAL DINING","Y","Y"
"200673226","TULSA","OFF","CONVENIENCE STORE","CONVENTIONAL CONVENIENCE","Y","N"
"100894973","CLEVELAND","OFF","CONVENIENCE STORE","CONVENTIONAL CONVENIENCE","Y","N"
"201765382","TULSA","ON","DINING","CASUAL DINING","Y","Y"
"100203261","GRADY","OFF","CONVENIENCE STORE","CONVENTIONAL CONVENIENCE","Y","N"
"107441369","OKLAHOMA","OFF","WHOLESALE CLUB","CONVENTIONAL CLUB","Y","N"
"101533075","CUSTER","OFF","CONVENIENCE STORE","CONVENTIONAL CONVENIENCE","Y","N"
"100684905","CLEVELAND","OFF","CONVENIENCE STORE","CONVENTIONAL CONVENIENCE","Y","N"
"101652853","BRYAN","OFF","CONVENIENCE STORE","CONVENTIONAL CONVENIENCE","Y","N"
"103606454","SEQUOYAH","OFF","CONVENIENCE STORE","CONVENTIONAL CONVENIENCE","Y","N"
"100531419","LE FLORE","OFF","MASS MERCHANDISER","DOLLAR STORE","Y","N"
"100097792","KINGFISHER","OFF","CONVENIENCE STORE","CONVENTIONAL CONVENIENCE","Y","N"
"100098653","CHEROKEE","OFF","CONVENIENCE STORE","CONVENTIONAL CONVENIENCE","Y","N"
"100356182","TULSA","OFF","MASS MERCHANDISER","DOLLAR STORE","Y","N"
"107231357","WASHINGTON","OFF","MASS MERCHANDISER","DOLLAR STORE","Y","N"
"101542732","OKLAHOMA","OFF","CONVENIENCE STORE","CONVENTIONAL CONVENIENCE","Y","N"
"107405160","LOGAN","OFF","CONVENIENCE STORE","CONVENTIONAL CONVENIENCE","Y","N"
"100137387","GARVIN","OFF","GROCERY","SUPERMARKET-CONVENTIONAL","Y","N"
"100554516","WASHINGTON","OFF","CONVENIENCE STORE","CONVENTIONAL CONVENIENCE","Y","N"
"100290292","MUSKOGEE","OFF","GROCERY","SUPERMARKET-CONVENTIONAL","Y","N"
"102338890","KIOWA","ON","DINING","CASUAL DINING","Y","Y"
"101706099","MUSKOGEE","OFF","CONVENIENCE STORE","CONVENTIONAL CONVENIENCE","Y","N"
"100330151","OKLAHOMA","OFF","CONVENIENCE STORE","CONVENTIONAL CONVENIENCE","Y","N"
"101841270","CANADIAN","OFF","DRUG","CONVENTIONAL DRUG","Y","N"
"100162241","CANADIAN","OFF","CONVENIENCE STORE","CONVENTIONAL CONVENIENCE","Y","N"
"101911118","OKLAHOMA","ON","DINING","CASUAL DINING","Y","Y"
"200096836","CLEVELAND","OFF","GROCERY","SUPERMARKET-CONVENTIONAL","Y","N"
"200135891","MURRAY","OFF","CONVENIENCE STORE","CONVENTIONAL CONVENIENCE","Y","N"
"101946378","OKFUSKEE","ON","BAR/NIGHTCLUB","CASUAL NIGHTCLUB","Y","Y"
"101515789","COMANCHE","OFF","CONVENIENCE STORE","CONVENTIONAL CONVENIENCE","Y","N"
"101822014","MCCLAIN","OFF","GROCERY","SUPERCENTER","Y","N"
"100208481","TULSA","OFF","CONVENIENCE STORE","CONVENTIONAL CONVENIENCE","Y","N"
"100208553","TULSA","OFF","CONVENIENCE STORE","CONVENTIONAL CONVENIENCE","Y","N"
"103925173","POTTAWATOMIE","OFF","CONVENIENCE STORE","CONVENTIONAL CONVENIENCE","Y","N"
