County,State,Status
Allen, Kansas,Mixed
Anderson, Kansas,Mixed
Atchison, Kansas,Mixed
Barber, Kansas,Wet
Barton, Kansas,Wet
Bourbon, Kansas,Mixed
Brown, Kansas,Wet
Butler, Kansas,Mixed
Chase, Kansas,Mixed
Chautauqua, Kansas,Mixed
Cherokee, Kansas,Wet
Cheyenne, Kansas,Mixed
Clark, Kansas,Mixed
Clay, Kansas,Mixed
Cloud, Kansas,Mixed
Coffey, Kansas,Mixed
Comanche, Kansas,Wet
Cowley, Kansas,Wet
Crawford, Kansas,Wet
Decatur, Kansas,Mixed
Dickinson, Kansas,Mixed
Doniphan, Kansas,Mixed
Douglas, Kansas,Wet
Edwards, Kansas,Wet
Elk, Kansas,Mixed
Ellis, Kansas,Wet
Ellsworth, Kansas,Mixed
Finney, Kansas,Mixed
Ford, Kansas,Wet
Franklin, Kansas,Mixed
Geary, Kansas,Wet
Gove, Kansas,Mixed
Graham, Kansas,Wet
Grant, Kansas,Wet
Gray, Kansas,Dry
Greeley, Kansas,Wet
Greenwood, Kansas,Mixed
Hamilton, Kansas,Mixed
Harper, Kansas,Mixed
Harvey, Kansas,Mixed
Haskell, Kansas,Dry
Hodgeman, Kansas,Mixed
Jackson, Kansas,Mixed
Jefferson, Kansas,Mixed
Jewell, Kansas,Dry
Johnson, Kansas,Mixed
Kearny, Kansas,Mixed
Kingman, Kansas,Mixed
Kiowa, Kansas,Mixed
Labette, Kansas,Mixed
Lane, Kansas,Wet
Leavenworth, Kansas,Wet
Lincoln, Kansas,Mixed
Linn, Kansas,Mixed
Logan, Kansas,Wet
Lyon, Kansas,Wet
McPherson, Kansas,Mixed
Marion, Kansas,Mixed
Marshall, Kansas,Mixed
Meade, Kansas,Dry
Miami, Kansas,Mixed
Mitchell, Kansas,Mixed
Montgomery, Kansas,Wet
Morris, Kansas,Mixed
Morton, Kansas,Wet
Nemaha, Kansas,Mixed
Neosho, Kansas,Mixed
Ness, Kansas,Mixed
Norton, Kansas,Mixed
Osage, Kansas,Mixed
Osborne, Kansas,Mixed
Ottawa, Kansas,Mixed
Pawnee, Kansas,Mixed
Phillips, Kansas,Wet
Pottawatomie, Kansas,Mixed
Pratt, Kansas,Mixed
Rawlins, Kansas,Mixed
Reno, Kansas,Mixed
Republic, Kansas,Mixed
Rice, Kansas,Wet
Riley, Kansas,Wet
Rooks, Kansas,Mixed
Rush, Kansas,Mixed
Russell, Kansas,Mixed
Saline, Kansas,Wet
Scott, Kansas,Wet
Sedgwick, Kansas,Wet
Seward, Kansas,Mixed
Shawnee, Kansas,Wet
Sheridan, Kansas,Mixed
Sherman, Kansas,Mixed
Smith, Kansas,Mixed
Stafford, Kansas,Wet
Stanton, Kansas,Dry
Stevens, Kansas,Wet
Sumner, Kansas,Mixed
Thomas, Kansas,Mixed
Trego, Kansas,Mixed
Wabaunsee, Kansas,Mixed
Wallace, Kansas,Dry
Washington, Kansas,Mixed
Wichita, Kansas,Wet
Wilson, Kansas,Mixed
Woodson, Kansas,Wet
Wyandotte, Kansas,Wet
