"RTL_STORE_CD","BEERTYPE"
"101424017","NonLowPoint"
"101397465","NonLowPoint"
"101915274","NonLowPoint"
"101424090","NonLowPoint"
"107473829","NonLowPoint"
"107414462","NonLowPoint"
"107446587","NonLowPoint"
"101397366","NonLowPoint"
"201631122","NonLowPoint"
"105206394","NonLowPoint"
"101938026","NonLowPoint"
"101855695","NonLowPoint"
"100793742","NonLowPoint"
"101933705","NonLowPoint"
"101946460","NonLowPoint"
"101397551","NonLowPoint"
"102118701","NonLowPoint"
"202541683","NonLowPoint"
"101964934","NonLowPoint"
"105208022","NonLowPoint"
"107444374","NonLowPoint"
"105202756","NonLowPoint"
"303597841","NonLowPoint"
"102217421","NonLowPoint"
"305206636","NonLowPoint"
"105196690","NonLowPoint"
"101840840","NonLowPoint"
"105194419","NonLowPoint"
"105524875","NonLowPoint"
"100764388","NonLowPoint"
"105206712","NonLowPoint"
"107371324","NonLowPoint"
"105211302","NonLowPoint"
"107459897","NonLowPoint"
"103988419","NonLowPoint"
"505196445","NonLowPoint"
"103980229","NonLowPoint"
"102257920","NonLowPoint"
"105544328","NonLowPoint"
"105204540","NonLowPoint"
"105213457","NonLowPoint"
"200898161","NonLowPoint"
"105206996","NonLowPoint"
"107337039","NonLowPoint"
"107171522","NonLowPoint"
"102652087","NonLowPoint"
"100792794","NonLowPoint"
"101782359","NonLowPoint"
"101907993","NonLowPoint"
"200792593","NonLowPoint"
"105192801","NonLowPoint"
"100663848","NonLowPoint"
"100792209","NonLowPoint"
"103440634","NonLowPoint"
"103809285","NonLowPoint"
"103329613","NonLowPoint"
"107482591","NonLowPoint"
"105207073","NonLowPoint"
"107518941","NonLowPoint"
"100793795","NonLowPoint"
"105194574","NonLowPoint"
"101867689","NonLowPoint"
"100767424","NonLowPoint"
"107348830","NonLowPoint"
"100793000","NonLowPoint"
"107082733","NonLowPoint"
"105210765","NonLowPoint"
"102003979","NonLowPoint"
"101796254","NonLowPoint"
"101960621","NonLowPoint"
"105206828","NonLowPoint"
"107043479","NonLowPoint"
"100793704","NonLowPoint"
"101397570","NonLowPoint"
