"RTL_STORE_CD","BEERTYPE"
"101415037","NonLowPoint"
"201880474","NonLowPoint"
"101415040","NonLowPoint"
"101415045","NonLowPoint"
"103755213","NonLowPoint"
"101798919","NonLowPoint"
"1093697","NonLowPoint"
"103895427","NonLowPoint"
"101415031","NonLowPoint"
"101415022","NonLowPoint"
"105629190","NonLowPoint"
"101415014","NonLowPoint"
"101415019","NonLowPoint"
"101415034","NonLowPoint"
"205629263","NonLowPoint"
"103531838","NonLowPoint"
"101878159","NonLowPoint"
"101415036","NonLowPoint"
"101415042","NonLowPoint"
"101415044","NonLowPoint"
"101415035","NonLowPoint"
"102709741","NonLowPoint"
"101415023","NonLowPoint"
"101415020","NonLowPoint"
"101808302","NonLowPoint"
"101415024","NonLowPoint"
"101415010","NonLowPoint"
"107395565","NonLowPoint"
"101415004","NonLowPoint"
"101942907","NonLowPoint"
"102163393","NonLowPoint"
"102167983","NonLowPoint"
"101415039","NonLowPoint"
"101415033","NonLowPoint"
"101415029","NonLowPoint"
"101901042","NonLowPoint"
"201415038","NonLowPoint"
"101415048","NonLowPoint"
"102649108","NonLowPoint"
"101415026","NonLowPoint"
"101415043","NonLowPoint"
"103789114","NonLowPoint"
