,RTL_STORE_CD,RTL_FIPS_COUNTY_DSC,RTL_PREMISE_TYPE_CD,RTL_CHANNEL_DSC,RTL_SUBCHANNEL_DSC,RTL_BEER_FLAG,RTL_LIQUOR_FLG,BEERTYPE
0,101856127,GRAND,OFF,CONVENIENCE STORE,CONVENTIONAL CONVENIENCE,Y,N,LowPoint
1,101948415,GARFIELD,OFF,CONVENIENCE STORE,CONVENTIONAL CONVENIENCE,Y,N,LowPoint
2,105604679,CACHE,ON,DINING,CASUAL DINING,Y,Y,LowPoint
3,100437548,SALT LAKE,OFF,CONVENIENCE STORE,CONVENTIONAL CONVENIENCE,Y,N,LowPoint
4,101943195,SALT LAKE,OFF,EXTENDED MASTER OFF-PREMISE,OTHER OFF-PREMISE,N,N,LowPoint
5,101937448,UINTAH,OFF,CONVENIENCE STORE,CONVENTIONAL CONVENIENCE,Y,N,LowPoint
6,100526134,SANPETE,OFF,GROCERY,SUPERMARKET-CONVENTIONAL,Y,N,LowPoint
7,101415026,SUMMIT,OFF,LIQUOR,CONVENTIONAL LIQUOR,Y,Y,NonLowPoint
8,101673103,SALT LAKE,ON,RECREATION,BILLIARD/BOWLING/ARCADE,Y,N,LowPoint
9,100112100,SALT LAKE,OFF,GROCERY,SUPERMARKET-CONVENTIONAL,Y,N,LowPoint
10,107165855,WEBER,ON,DINING,CASUAL DINING,Y,Y,LowPoint
11,107068941,WEBER,ON,BAR/NIGHTCLUB,SPORTS BAR,Y,Y,LowPoint
12,102098485,SALT LAKE,OFF,EXTENDED MASTER OFF-PREMISE,ETHNIC MARKETS,N,N,LowPoint
13,100482373,DAVIS,OFF,GROCERY,SUPERMARKET-CONVENTIONAL,Y,N,LowPoint
14,101692819,SALT LAKE,ON,DINING,CASUAL DINING,Y,Y,LowPoint
15,100330325,CARBON,OFF,CONVENIENCE STORE,CONVENTIONAL CONVENIENCE,Y,N,LowPoint
16,102519519,UTAH,OFF,CONVENIENCE STORE,CONVENTIONAL CONVENIENCE,Y,N,LowPoint
17,205616099,BOX ELDER,ON,BAR/NIGHTCLUB,NEIGHBORHOOD BAR,Y,Y,LowPoint
18,100434269,SALT LAKE,OFF,GROCERY,SUPERMARKET-CONVENTIONAL,Y,N,LowPoint
19,100649413,DAVIS,OFF,CONVENIENCE STORE,CONVENTIONAL CONVENIENCE,Y,N,LowPoint
20,105626572,SALT LAKE,ON,BAR/NIGHTCLUB,NEIGHBORHOOD BAR,Y,Y,LowPoint
21,100685693,JUAB,OFF,CONVENIENCE STORE,CONVENTIONAL CONVENIENCE,Y,N,LowPoint
22,301647685,CACHE,OFF,CONVENIENCE STORE,CONVENTIONAL CONVENIENCE,Y,N,LowPoint
23,201690436,SALT LAKE,ON,BAR/NIGHTCLUB,COUNTRY WESTERN,Y,Y,LowPoint
