MASTER_SKU_CD,ITEM_MASTER_SKU_DSC,WJXBFS1
80013450,CORONA EX 3.2 12PK BT,174168.5
80013464,CORONA LT 12PK BT,139364.0
80013456,CORONA EX 3.2 6PK BT,107533.9667
80014022,MODELO ESP 3.2 12PK CAN,98257.9167
80013478,CORONA LT 6PK BT,61888.0
80014011,VICTORIA 12PK BT,51674.0
80013469,CORONA LT 18PK BT,51373.5
80013455,CORONA EX 3.2 18PK BT,48291.5417
80014025,MODELO ESP 3.2 6PK BT,42753.875
80019746,MODELO CHELADA 24OZ CAN,39000.4201
80014023,MODELO ESP 3.2 18PK CAN,36883.5
80014020,MODELO ESP 3.2 12PK BT,36659.5417
80013473,CORONA LT 24PK BT,35500.0
80014024,MODELO ESP 3.2 24OZ CAN,25666.2566
80014010,VICTORIA 6PK BT,24111.0
80013466,CORONA LT 12PK CAN,20990.0
80013980,CORONITA 3.2 7OZ 6PK BT,16628.4982
80013475,CORONA LT 3.2 12PK BT,16392.5
80013979,CORONA EX 3.2 24OZ BT,9455.17
80013992,CORONA LIGHT 1/2 BL KEG,8618.0132
80024732,VICTORIA 12PK CAN,6430.0
80059842,MODELO CHE TAMPIC 3.2 24OZ CAN,838.0
80013991,CORONA LIGHT 1/4 BL KEG,340.9961
80013477,CORONA LT 3.2 6PK BT,25.0
