MASTER_SKU_CD,ITEM_MASTER_SKU_DSC,WJXBFS1
80013456,CORONA EX 3.2 6PK BT,24434.7083
80013450,CORONA EX 3.2 12PK BT,16055.75
80013469,CORONA LT 18PK BT,15636.75
80014025,MODELO ESP 3.2 6PK BT,13536.6667
80014020,MODELO ESP 3.2 12PK BT,7002.0
80013992,CORONA LIGHT 1/2 BL KEG,5690.2313
80014022,MODELO ESP 3.2 12PK CAN,3419.0
80014024,MODELO ESP 3.2 24OZ CAN,3389.0
80013979,CORONA EX 3.2 24OZ BT,1750.0
80013464,CORONA LT 12PK BT,1446.0
80019746,MODELO CHELADA 24OZ CAN,1320.92
80013473,CORONA LT 24PK BT,1029.0
80013455,CORONA EX 3.2 18PK BT,922.5
80014023,MODELO ESP 3.2 18PK CAN,795.75
80013475,CORONA LT 3.2 12PK BT,719.5
80014011,VICTORIA 12PK BT,606.0
80013466,CORONA LT 12PK CAN,595.0
80014010,VICTORIA 6PK BT,556.0
80013991,CORONA LIGHT 1/4 BL KEG,447.7723
80013478,CORONA LT 6PK BT,401.0
80013980,CORONITA 3.2 7OZ 6PK BT,393.7475
80024732,VICTORIA 12PK CAN,184.0
80059842,MODELO CHE TAMPIC 3.2 24OZ CAN,49.0
80013477,CORONA LT 3.2 6PK BT,13.0
