MASTER_SKU_CD,ITEM_MASTER_SKU_DSC,WJXBFS1
80013450,CORONA EX 3.2 12PK BT,190225.25
80013464,CORONA LT 12PK BT,140821.0
80013456,CORONA EX 3.2 6PK BT,131975.675
80014022,MODELO ESP 3.2 12PK CAN,101676.9167
80013469,CORONA LT 18PK BT,67013.25
80013478,CORONA LT 6PK BT,62290.0
80014025,MODELO ESP 3.2 6PK BT,56290.5417
80014011,VICTORIA 12PK BT,52515.0
80013455,CORONA EX 3.2 18PK BT,49215.5417
80014020,MODELO ESP 3.2 12PK BT,43661.5417
80019746,MODELO CHELADA 24OZ CAN,40384.3401
80014023,MODELO ESP 3.2 18PK CAN,37701.0
80013473,CORONA LT 24PK BT,36542.0
80014024,MODELO ESP 3.2 24OZ CAN,29055.2566
80014010,VICTORIA 6PK BT,24843.0
80013466,CORONA LT 12PK CAN,21751.0
80013475,CORONA LT 3.2 12PK BT,17112.0
80013980,CORONITA 3.2 7OZ 6PK BT,17022.2457
80013992,CORONA LIGHT 1/2 BL KEG,14308.2445
80013979,CORONA EX 3.2 24OZ BT,11205.17
80024732,VICTORIA 12PK CAN,6703.0
80059842,MODELO CHE TAMPIC 3.2 24OZ CAN,888.0
80013991,CORONA LIGHT 1/4 BL KEG,788.7684
80013477,CORONA LT 3.2 6PK BT,38.0
80013472,CORONA LT 24OZ CAN,0.0
80013452,CORONA EX 3.2 12PK CAN,0.0
80056926,MODELO CHE TAMPIC 24OZ CAN,0.0
