"RTL_STORE_CD","RTL_FIPS_COUNTY_DSC","RTL_PREMISE_TYPE_CD","RTL_CHANNEL_DSC","RTL_SUBCHANNEL_DSC","RTL_BEER_FLAG","RTL_LIQUOR_FLG"
"105531125","DAKOTA","ON","DINING","CASUAL DINING","Y","Y"
"205646301","MORRISON","ON","BAR/NIGHTCLUB","NEIGHBORHOOD BAR","Y","Y"
"105646889","AITKIN","ON","LODGING","FULL SERVICE LODGING","Y","Y"
"102004427","FILLMORE","OFF","LIQUOR","CONVENTIONAL LIQUOR","Y","Y"
"105645122","WINONA","ON","DINING","CASUAL DINING","Y","Y"
"203729735","RAMSEY","ON","DINING","CASUAL DINING","Y","Y"
"305645040","STEARNS","ON","BAR/NIGHTCLUB","NEIGHBORHOOD BAR","Y","Y"
"101406812","RAMSEY","OFF","LIQUOR","CONVENTIONAL LIQUOR","Y","Y"
"107227951","OLMSTED","ON","BAR/NIGHTCLUB","NEIGHBORHOOD BAR","Y","Y"
"105647346","RICE","ON","BAR/NIGHTCLUB","NEIGHBORHOOD BAR","Y","Y"
"107444451","CHISAGO","ON","BAR/NIGHTCLUB","SPORTS BAR","Y","Y"
"101930906","ISANTI","ON","RECREATION","GOLF/COUNTRY CLUB","Y","Y"
"102596994","RAMSEY","OFF","LIQUOR","CONVENTIONAL LIQUOR","Y","Y"
"100653891","CROW WING","OFF","CONVENIENCE STORE","CONVENTIONAL CONVENIENCE","Y","N"
"103751949","FREEBORN","ON","BAR/NIGHTCLUB","NEIGHBORHOOD BAR","Y","Y"
"105645613","BLUE EARTH","ON","RECREATION","PRIVATE CLUB","Y","Y"
"205646170","LE SUEUR","ON","DINING","CASUAL DINING","Y","Y"
"105645650","ANOKA","ON","RECREATION","PRIVATE CLUB","Y","Y"
"107300928","RICE","ON","DINING","CASUAL DINING","Y","N"
"101776146","HENNEPIN","ON","DINING","CASUAL DINING","Y","Y"
"101425636","HENNEPIN","OFF","LIQUOR","CONVENTIONAL LIQUOR","Y","Y"
"107431145","OLMSTED","OFF","LIQUOR","CONVENTIONAL LIQUOR","Y","Y"
"101745095","DAKOTA","OFF","GROCERY","SUPERMARKET-CONVENTIONAL","Y","N"
"102024129","CROW WING","OFF","LIQUOR","CONVENTIONAL LIQUOR","Y","Y"
"105647664","ITASCA","ON","BAR/NIGHTCLUB","NEIGHBORHOOD BAR","Y","Y"
"103848199","SHERBURNE","ON","DINING","CASUAL DINING","Y","Y"
"101745875","HENNEPIN","OFF","LIQUOR","CONVENTIONAL LIQUOR","Y","Y"
