,STORE_CD,L12M_TY_QTY,PREMISE_TYPE_DSC,CHANNEL_DSC,SUBCHANNEL_DSC,NO_OF_STORES_DSC,FOOD_TYPE_GROUP_DSC,INDUSTRY_VOL_DSC,PATRON_ETHNICITY_DSC,PATRON_OCCUPATION_DSC,PATRON_AGE_DSC,CHAIN_IND_FLG,FRANCHISE_FLG,BEER_FLG,WINE_FLG,LIQUOR_FLG,FINE_WINE_FLG,WHITE_POP_PCT,BLACK_POP_PCT,ASIAN_POP_PCT,HISP_POP_PCT,LEAST_ACC_HISP_POP_PCT,BI_CULTURAL_HISP_POP_PCT,MOST_ACC_HISP_POP_PCT,OTHER_POP_PCT,INCOME_POP_L10_PCT,INCOME_POP_1020_PCT,INCOME_POP_2030_PCT,INCOME_POP_3040_PCT,INCOME_POP_4050_PCT,INCOME_POP_5075_PCT,INCOME_POP_75100_PCT,INCOME_POP_G100_PCT,MALE_POP_2124_PCT,MALE_POP_2534_PCT,MALE_POP_3544_PCT,MALE_POP_4554_PCT,MALE_POP_5564_PCT,MALE_POP_6574_PCT,MALE_POP_75_PCT,FEMALE_POP_2124_PCT,FEMALE_POP_2534_PCT,FEMALE_POP_3544_PCT,FEMALE_POP_4554_PCT,FEMALE_POP_5564_PCT,FEMALE_POP_6574_PCT,FEMALE_POP_75_PCT,CLUSTER,RTL_STORE_CD,BEERTYPE
0,101914477,4.0,ON PREMISE,BAR/NIGHTCLUB,NEIGHBORHOOD BAR,1 STORE,OTHER,LOWEST 20% ON/ LOWEST 20% OFF,UNKNOWN,UNKNOWN,GENERAL POPULATION,False,False,True,False,False,False,0.9009,0.0147,0.0065,0.0529,0.01,0.0125,0.0304,0.0143,0.0311,0.0849,0.1062,0.1034,0.08800000000000001,0.2357,0.1413,0.2094,0.0263,0.0675,0.0589,0.0538,0.0613,0.0415,0.0285,0.0251,0.0676,0.0624,0.0578,0.0648,0.046,0.0433,0,,LowPoint
1,103979042,0.0,ON PREMISE,DINING,CASUAL DINING,1 STORE,ASIAN,LOWEST 20% ON/ LOWEST 20% OFF,GENERAL POPULATION,OTHER,GENERAL POPULATION,False,False,True,True,True,False,0.8378,0.0121,0.0063,0.129,0.0258,0.0481,0.0551,0.0096,0.0575,0.115,0.1167,0.1184,0.1104,0.1741,0.1239,0.184,0.0243,0.0633,0.0566,0.0525,0.0643,0.0444,0.0328,0.0235,0.0611,0.0545,0.0574,0.0683,0.0479,0.0506,0,,LowPoint
2,107027552,74.5,OFF PREMISE,LIQUOR,CONVENTIONAL LIQUOR,1 STORE,OTHER,TOP 50% ON/ TOP 20% OFF,GENERAL POPULATION,OTHER,UNKNOWN,False,False,True,True,True,False,0.9437,0.0103,0.0081,0.0195,0.0041,0.0061,0.0093,0.0101,0.0389,0.1374,0.1115,0.1085,0.0981,0.2116,0.1275,0.1665,0.0234,0.059000000000000004,0.0578,0.0593,0.0712,0.0527,0.0431,0.0231,0.0486,0.0518,0.0589,0.0753,0.0581,0.0576,0,107027552,NonLowPoint
3,103707016,36.5,ON PREMISE,BAR/NIGHTCLUB,NEIGHBORHOOD BAR,1 STORE,VARIED MENU,TOP 50% ON/ TOP 20% OFF,GENERAL POPULATION,OTHER,UNKNOWN,False,False,True,True,True,False,0.7495,0.0968,0.0631,0.0668,0.0133,0.0179,0.0356,0.0175,0.0422,0.063,0.0753,0.0824,0.0817,0.17800000000000002,0.1363,0.3411,0.0278,0.063,0.0595,0.061,0.0632,0.0405,0.0228,0.0268,0.0641,0.0622,0.0644,0.0676,0.0435,0.0318,0,103707016,NonLowPoint
4,201650423,311.2502,OFF PREMISE,LIQUOR,CONVENTIONAL LIQUOR,1 STORE,OTHER,TOP 50% ON/ TOP 20% OFF,GENERAL POPULATION,OTHER,UNKNOWN,False,False,True,True,True,False,0.8233,0.0051,0.0065,0.1577,0.0274,0.0505,0.0799,0.0028,0.0195,0.051,0.083,0.1771,0.151,0.1516,0.1809,0.1858,0.0271,0.06,0.0613,0.0693,0.0638,0.0475,0.0307,0.0202,0.0463,0.054000000000000006,0.0624,0.0649,0.0459,0.0381,3,201650423,NonLowPoint
5,101930302,5.0,ON PREMISE,BAR/NIGHTCLUB,NEIGHBORHOOD BAR,1 STORE,OTHER,TOP 50% ON/ TOP 20% OFF,GENERAL POPULATION,BLUE COLLAR,GENERAL POPULATION,False,False,True,False,False,False,0.8433,0.0436,0.008,0.051,0.0101,0.0161,0.0248,0.0291,0.0694,0.1163,0.1109,0.1127,0.1006,0.2034,0.1343,0.1523,0.025,0.0576,0.053,0.059000000000000004,0.0694,0.0519,0.0328,0.0224,0.0561,0.0551,0.0613,0.0715,0.0577,0.0472,0,,LowPoint
6,101943225,2.0,ON PREMISE,BAR/NIGHTCLUB,NEIGHBORHOOD BAR,1 STORE,OTHER,MID 30% ON/ MID 60% OFF,GENERAL POPULATION,BLUE COLLAR,GENERAL POPULATION,False,False,True,True,True,False,0.9453,0.0098,0.0035,0.0202,0.0043,0.0064,0.0095,0.0134,0.0557,0.0722,0.07400000000000001,0.087,0.0812,0.2011,0.1344,0.2943,0.0237,0.0547,0.0593,0.064,0.0661,0.0435,0.0283,0.0223,0.0527,0.0614,0.0694,0.0696,0.0473,0.0435,0,,LowPoint
7,100766228,614.75,OFF PREMISE,LIQUOR,CONVENTIONAL LIQUOR,1 STORE,OTHER,TOP 50% ON/ TOP 20% OFF,GENERAL POPULATION,OTHER,UNKNOWN,False,False,True,True,True,False,0.7785,0.0523,0.0719,0.0742,0.0117,0.0222,0.0402,0.0191,0.0586,0.0578,0.0788,0.0896,0.0857,0.1857,0.1175,0.3263,0.0793,0.1064,0.0599,0.040999999999999995,0.0466,0.0339,0.0198,0.0638,0.0854,0.0565,0.0429,0.0522,0.0372,0.0258,3,100766228,NonLowPoint
8,100558459,41.0,OFF PREMISE,CONVENIENCE STORE,CONVENTIONAL CONVENIENCE,6-10 STORES,OTHER,LOWEST 20% ON/ LOWEST 20% OFF,UNKNOWN,UNKNOWN,UNKNOWN,True,False,True,False,False,False,0.6504,0.1406,0.0332,0.1328,0.0238,0.0385,0.0706,0.0336,0.0597,0.0908,0.1168,0.1475,0.182,0.2088,0.0969,0.0975,0.0658,0.1124,0.055999999999999994,0.0433,0.0409,0.0252,0.0169,0.0491,0.0823,0.0514,0.0386,0.0413,0.0278,0.0231,0,,LowPoint
9,101633764,125.25,OFF PREMISE,LIQUOR,CONVENTIONAL LIQUOR,1 STORE,OTHER,TOP 50% ON/ TOP 20% OFF,GENERAL POPULATION,OTHER,UNKNOWN,False,False,True,True,True,False,0.9537,0.0015,0.001,0.015,0.0029,0.0039,0.0082,0.0164,0.0397,0.1176,0.1365,0.1115,0.0907,0.2318,0.1257,0.1465,0.0206,0.049,0.0545,0.0586,0.0851,0.0633,0.0424,0.0199,0.0536,0.0463,0.0577,0.084,0.0638,0.0577,0,101633764,NonLowPoint
